1989	1.6514942883511633E7
1990	1.6198716656514382E7
1991	1.5610488201480528E7
1992	1.640218939807662E7
1993	1.7877351574373856E7
1994	2.101594206271777E7
1995	2.6127878069962546E7
1996	2.717403544427688E7
1997	3.051087810152591E7
1998	2.8902272239583332E7
1999	2.5657697337958075E7
2000	2.7875778196302816E7
2001	2.850059246508216E7
2002	2.7202337187317785E7
2003	3.079689261559567E7
2004	4.069206718841208E7
2005	4.836828901118119E7
2006	5.766519070907791E7
2007	7.399600491315173E7
2008	9.797604409499034E7
2009	7.455914321852018E7
2010	1.0147600753883855E8
2011	1.276853410934552E8
2012	1.3298900450295763E8
2013	1.3832806673584297E8
2014	1.2171462637346327E8
2015	9.7195178365027E7
2016	9.288919054396135E7
