1989	6.355017548738923E7
1990	6.4228617534074605E7
1991	6.555511930993151E7
1992	6.3509368241825834E7
1993	6.836426287527911E7
1994	8.080202587942122E7
1995	8.552127765875082E7
1996	9.14288806110381E7
1997	9.536117080511811E7
1998	1.0108719337386511E8
1999	7.310347417673236E7
2000	7.619758893867175E7
2001	8.263336425693569E7
2002	9.047874626773888E7
2003	9.985648090513219E7
2004	1.1734836369515227E8
2005	1.2579793322242817E8
2006	1.364184966945218E8
2007	1.4988763136403784E8
2008	1.5636567285964343E8
2009	1.5554136020118734E8
2010	1.78622292523652E8
2011	1.8743045214196518E8
2012	1.7728102374684384E8
2013	1.832808116013423E8
2014	1.8975705347646266E8
2015	2.1075550182557356E8
2016	2.1073815153569046E8
